epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.558,1.6196,3.14582,1.60094,0.35724,0.4058,0.32191,0.18952,1.42668,2.67242,1.40656,0.000203598,0.000203598,0.000203598
2,35.1502,1.4275,1.9805,1.4373,0.43737,0.47685,0.42901,0.23064,1.5304,2.0766,1.51973,0.000407854,0.000407854,0.000407854
3,46.6881,1.40287,1.75953,1.41614,0.45389,0.59518,0.52944,0.31053,1.41487,1.69185,1.41745,0.000607984,0.000607984,0.000607984
4,58.5306,1.40063,1.59323,1.40422,0.594,0.64273,0.67314,0.39162,1.4018,1.59165,1.4337,0.000606437,0.000606437,0.000606437
5,69.8409,1.3475,1.51483,1.38531,0.61599,0.66183,0.66443,0.38925,1.3432,1.57697,1.37775,0.00060025,0.00060025,0.00060025
6,81.2905,1.34077,1.44294,1.36602,0.57131,0.67563,0.66229,0.37621,1.40612,1.40887,1.42337,0.000594062,0.000594062,0.000594062
7,92.7295,1.33974,1.34204,1.37518,0.60164,0.71853,0.69579,0.41484,1.30492,1.41767,1.32175,0.000587875,0.000587875,0.000587875
8,103.697,1.30512,1.32733,1.36541,0.67128,0.73811,0.76182,0.45638,1.31198,1.25714,1.32577,0.000581687,0.000581687,0.000581687
9,114.688,1.27185,1.31418,1.34146,0.66634,0.72396,0.73017,0.43831,1.32557,1.1921,1.3578,0.0005755,0.0005755,0.0005755
10,125.784,1.27159,1.22704,1.32889,0.69182,0.72887,0.77083,0.46283,1.30675,1.09809,1.33421,0.000569313,0.000569313,0.000569313
11,136.954,1.25568,1.14779,1.3116,0.69763,0.78332,0.7891,0.48428,1.26721,1.10302,1.31021,0.000563125,0.000563125,0.000563125
12,148.104,1.24869,1.15709,1.30759,0.66874,0.79372,0.79557,0.48552,1.27786,1.09939,1.32022,0.000556938,0.000556938,0.000556938
